name,number,old_price,sale_price,url
Ribbed Jersey Top,56300,$17.99,$7.99,http://www.hm.com/us/product/56300?article=56300-F
Off-the-shoulder Top,61183,$34.99,$24.99,http://www.hm.com/us/product/61183?article=61183-A
Ribbed Top,76777,$17.95,$10,http://www.hm.com/us/product/76777?article=76777-B
Wide-cut T-shirt,66154,$12.99,$7.99,http://www.hm.com/us/product/66154?article=66154-C
Crêped Jersey Top,68689,$29.99,$14.99,http://www.hm.com/us/product/68689?article=68689-A
Fine-knit Camisole Top,67259,$29.99,$12.99,http://www.hm.com/us/product/67259?article=67259-C
V-neck Camisole Top,55497,$39.99,$19.99,http://www.hm.com/us/product/55497?article=55497-E
V-neck Top,46814,$29.99,$12.99,http://www.hm.com/us/product/46814?article=46814-G
T-shirt with Printed Design,64990,$14.99,$9.99,http://www.hm.com/us/product/64990?article=64990-A
Long-sleeved Top,62754,$17.99,$12.99,http://www.hm.com/us/product/62754?article=62754-B
V-neck Camisole Top,67857,$34.99,$19.99,http://www.hm.com/us/product/67857?article=67857-A
Top with Open Back,61028,$17.99,$9.99,http://www.hm.com/us/product/61028?article=61028-A
Loose-knit Top,65855,$24.99,$14.99,http://www.hm.com/us/product/65855?article=65855-D
Wide-cut T-shirt,66154,$12.99,$7.99,http://www.hm.com/us/product/66154?article=66154-A
Halterneck Top,53502,$34.99,$19.99,http://www.hm.com/us/product/53502?article=53502-A
Ribbed Jersey Top,39668,$24.99,$12.99,http://www.hm.com/us/product/39668?article=39668-B
Wide-cut T-shirt,68677,$24.99,$12.99,http://www.hm.com/us/product/68677?article=68677-A
Camisole Top with Flounce,68989,$12.99,$7.99,http://www.hm.com/us/product/68989?article=68989-B
Tulle Top,68538,$39.99,$19.99,http://www.hm.com/us/product/68538?article=68538-A
One-shoulder Top,67836,$17.99,$7.99,http://www.hm.com/us/product/67836?article=67836-B
V-neck Bodysuit,60992,$24.99,$17.99,http://www.hm.com/us/product/60992?article=60992-B
Jersey Tank Top,47998,$12.99,$7.99,http://www.hm.com/us/product/47998?article=47998-B
Handkerchief Top,67070,$24.99,$14.99,http://www.hm.com/us/product/67070?article=67070-A
Glittery Camisole Top,58956,$24.99,$17.99,http://www.hm.com/us/product/58956?article=58956-B
Short Glittery Top,53308,$29.99,$14.99,http://www.hm.com/us/product/53308?article=53308-A
Beaded Lace Top,98637,$39.95,$20,http://www.hm.com/us/product/98637?article=98637-A
Long Jersey Top,57920,$24.99,$12.99,http://www.hm.com/us/product/57920?article=57920-D
Velour Top,69616,$24.99,$14.99,http://www.hm.com/us/product/69616?article=69616-C
Crushed-velvet Top,70150,$14.99,$9.99,http://www.hm.com/us/product/70150?article=70150-C
Sequined Tank Top,58495,$34.99,$19.99,http://www.hm.com/us/product/58495?article=58495-A
Ribbed Top,56889,$17.99,$9.99,http://www.hm.com/us/product/56889?article=56889-D
Velour Top,69616,$24.99,$14.99,http://www.hm.com/us/product/69616?article=69616-A
Long-sleeved Lace Top,38130,$24.99,$19.99,http://www.hm.com/us/product/38130?article=38130-C
Sequined Top,58474,$49.99,$29.99,http://www.hm.com/us/product/58474?article=58474-A
Sleeveless Top,51196,$29.99,$14.99,http://www.hm.com/us/product/51196?article=51196-D
Mock-turtleneck Top,55410,$17.99,$9.99,http://www.hm.com/us/product/55410?article=55410-B
Short Top with Lacing,62105,$29.99,$17.99,http://www.hm.com/us/product/62105?article=62105-A
Long-sleeved Jersey Top,54285,$17.99,$12.99,http://www.hm.com/us/product/54285?article=54285-A
Jersey Top,64828,$14.99,$9.99,http://www.hm.com/us/product/64828?article=64828-D
Jersey Top with Printed Design,66151,$24.99,$14.99,http://www.hm.com/us/product/66151?article=66151-A
Ribbed Mock Turtleneck Sweater,55016,$34.99,$19.99,http://www.hm.com/us/product/55016?article=55016-A
V-neck Camisole Top,58826,$14.99,$12.99,http://www.hm.com/us/product/58826?article=58826-A
One-shoulder Top,67836,$17.99,$7.99,http://www.hm.com/us/product/67836?article=67836-A
Long-sleeved T-shirt,66218,$17.99,$9.99,http://www.hm.com/us/product/66218?article=66218-D
Glittery Camisole Top,58956,$24.99,$17.99,http://www.hm.com/us/product/58956?article=58956-A
V-neck Top,50693,$29.99,$17.99,http://www.hm.com/us/product/50693?article=50693-C
Fitted Lace Top,67944,$24.99,$14.99,http://www.hm.com/us/product/67944?article=67944-B
Wrap-front Top,42177,$29.99,$14.99,http://www.hm.com/us/product/42177?article=42177-A
Fitted Jersey Top,88680,$24.99,$12.99,http://www.hm.com/us/product/88680?article=88680-M
Lace Top,30892,$24.95,$12.99,http://www.hm.com/us/product/30892?article=30892-A
Sequined Camisole Top,59381,$34.99,$17.99,http://www.hm.com/us/product/59381?article=59381-A
Flounced Chiffon Camisole Top,60809,$29.99,$14.99,http://www.hm.com/us/product/60809?article=60809-A
Sequined Camisole Top,55491,$49.99,$29.99,http://www.hm.com/us/product/55491?article=55491-B
T-shirt with Printed Design,65622,$34.99,$17.99,http://www.hm.com/us/product/65622?article=65622-A
Jersey Top with Lace,39074,$24.99,$14.99,http://www.hm.com/us/product/39074?article=39074-A
Cropped Camisole Top,45952,$29.99,$14.99,http://www.hm.com/us/product/45952?article=45952-B
Camisole Top,41726,$34.99,$17.99,http://www.hm.com/us/product/41726?article=41726-A
Sleeveless Chiffon Top,46224,$24.99,$17.99,http://www.hm.com/us/product/46224?article=46224-A
Glittery Top,37042,$49.99,$34.99,http://www.hm.com/us/product/37042?article=37042-B
Long-sleeved Jersey Top,30028,$12.99,$7.99,http://www.hm.com/us/product/30028?article=30028-A
