address,controller,operator
"6250 Twin Bridge Rd
ALEXANDRIA, LA  71303",Perkins Linda I,L I P Dirt & Trucking
"BAKER, LA  70714",Richardson Sheila,Lee'S Dirt Pit Inc
"4456 Arnold Lane
BATON ROUGE, LA  70809",Little-G-Dirt Pit,Little-G-Dirt Pit
"11820 University Avenue
Lubbock, TX  79423",Wesley  Sanders; Steve  Turner,Lone Star Dirt & Paving
"366 State Highway 217
TIJERAS, NM  87059",Evertt  Loyd,Loyd'S Dirt & Gravel
"21186 Rt187
Towanda, PA  18848",Scott R  Middendorf; Christopher L  Roof,M R Dirt
"106 Egret Lane
Summerville, SC  29405",Mark M  Mitcham; Elaine C  Murray,M.C. Dirt LLC
"21186  Rt 187
Towanda, PA  18848",Scott R  Middendorf; Christopher L  Roof,M.R. Dirt Inc.
"2579 Allen Rd
MAURICE, LA  70555",Dien Huynh Due,Maurice Dirt & Sand
"5570 Bellview Ave
PENSACOLA, FL  32526",Phillip  McCoy,Mc Dirt Industries Inc
"369 Tans Rd
LAKE CHARLES, LA  70607",Michael  Duhon Sr,Mike Duhon Dirt Pit
"369 Tans Rd
LAKE CHARLES, LA  70607",Michael  Duhon Sr,Mike Duhon Dirt Pit
"369 Tans Rd
LAKE CHARLES, LA  70607",Michael  Duhon Sr,Mike Duhon Dirt Pit
"5845 Jefferson Rd
SHREVEPORT, LA  71119",Moss Ben Jr,Moss Dirt Company
"5845 Jefferson Rd
SHREVEPORT, LA  71119",Moss Ben Jr,Moss Dirt Company
"2454 Covington St
RAPID CITY, SD  57701",Muckler Fill Dirt & Top Soil,Muckler Fill Dirt & Top Soil
"523 Lady Of The Lake Rd
ST MARTINVILLE, LA  70582",Nelson & Sons Dirt Haulers Inc,Nelson & Sons Dirt Haulers Inc
"GRANBURY, TX  76048",Joe  Nelson,Nelson'S Dirt Pit
"116 Beacon Hill Rd
Cody, WY  82414",Jim  Nicholson,Nicholson Dirt Contracting
"85 Isaiah Trail
Belgrade, MT  59714",Steve L  Cavanaugh; Susie L  Cavanaugh,Nitty Gritty Dirt LLC
"Rt 2 Box 181 Caples Rd
WEST MONROE, LA  71291",Northest Louisiana Dirt Contractors,Northest Louisiana Dirt Contractors
"Rte 1
CANADIAN, TX  79014",Carter Orvil,Orvil Carter Dirt Contractor Inc
"Rte 1
CANADIAN, TX  79120",Carter Orvil,Orvil Carter Dirt Contractor Inc
"BIG ROCK, VA  24603",Robin R  Belcher,P B Dirt Movers Inc
"BIG ROCK, VA  24603",Robin R  Belcher,P B Dirt Movers Inc
"BIG ROCK, VA  24603",Robin R  Belcher,P B Dirt Movers Inc
"BIG ROCK, VA  24603",Robin R  Belcher,P B Dirt Movers Inc
"Foxfire Lane
Big Rock, VA  24603",Robin R  Belcher,P B Dirt Movers Inc
"1042 Dirt Mover Drive
Big Rock, VA  24603",Robin R  Belcher,P B Dirt Movers Inc.
"1042 Dirt Mover Drive
Big Rock, VA  24293",Robin R  Belcher,"P B Dirt Movers, Inc"
"Dirtmover Drive
Big Rock, VA  24603",Robin R  Belcher,P.B. Dirtmovers
"2410 OTTAWA ST
SANDY VALLEY, NV  890198921",Larry J Peplowski,PAPA'S DIRT WORKES
"17450 Wilson Creek Road
Gallatin Gateway, MT  59730",Paul A  Yenny,Paydirt Exc Inc
"1042 Dirt Mover  Drive
Conaway, VA  24603",Robin R  Belcher,PB Dirt Movers
"1042 Dirt Mover Drive
Big Rock, VA  24603",Robin R  Belcher,PB Dirt Movers Inc.
"Dirt Mover Road
Big Rock, VA  24603",Robin R  Belcher,"PB Dirt Movers, Inc"
"442 Highway 62 North
ORANGE, TX  77630",Peveto Dirt Pit,Peveto Dirt Pit
"CRESTVIEW, FL  32536",Phil  Bowman,"Phil-Dirt Industries, Inc"
"4229 WILLOW CREEK RD
PRESCOTT, AZ  86301",Steven  Leigh,"Prescott Dirt, LLC"
"3404 Cr. 302
Eureka Springs, AR  72632",Matthew M  Martin,R & R Dirtworks
"19 Villa Christina
La Luz, NM  88337",Rodney D  Blankenship,R D Blankenship Dirt Work LLC
"SHREVEPORT, LA  71135",Reeves Dirt Pit Inc,Reeves Dirt Pit Inc
"107 McGilvray Ln
Boyd, TX  76023",James L  McGilvray Jr,River Bottom Dirt
"Rte 8 Box 578 Lot 5
DENHAM SPRINGS, LA  70726",Roe Toler R Sr,Roe'S Dirt Pit
"SOUR LAKE, TX  77659",Trest Russell,Russell Trest-Dirt Contractor
"OAKLEY, UT  84055",S J Stahr Dirt Movers Inc,S J Stahr Dirt Movers Inc
"2222  Highway 95-A North
Gonzalez, FL  32533",C R  Campbell Sr,"Sand and Dirt, Inc."
"2901 8th Ave So
Great Falls, MT  59405",Rick  McDaniel,"Sierra Rock & Dirt, Inc."
"71 Depot Hill Rd
St. Johnsbury, VT  05819",Jacob D  Simpson,Simpson Dirtworx llc
"925 Underpass Road
Sutton, VT  05867",Jacob D  Simpson,SIMPSON DIRTWORX LLC
"71 Depot Hill Rd
St. Johnsbury, VT  05819",Jacob D  Simpson,SIMPSON DIRTWORX LLC
"4436 Bell Lane
PACE, FL  32571",Nancy  Slay,Slay'S Dirt Hauling
"4901 Benton Rd
BOSSIER CITY, LA  71111",Whittington D R,Southside Dirt Company
"Rt 1
Edwards, MO  65326",Teresa M  Spry,"Spry's Dirt & Gravel, Inc."
"VIDOR, TX  77662",Stewart Dirt Pit,Stewart Dirt Pit
"1403 Geary Road
Dumas, TX  79029",James R  Stewart; Jason T  Stewart,"Stewart Dirt Work, Inc."
"101 Mayrant St
SUMMERVILLE, SC  29483",Sweat Richard F,Sweat'S Dirt Hauling Inc
"39270 Weise Rd
DENHAM SPRINGS, LA  70726",Roe Toler R Sr,Toler Roe Dirt Pit
"1899 N. Cage
Pharr, TX  78577",Oscar A  Palacios,"Tres Palacios Dirt, Sand & Gravel"
"16733 - 500th St.
Bemidji, MN  56601",Dale C Vogt,Vogt Dirt Service
"14545 Old Hammond Highway
BATON ROUGE, LA  70816",Meredith Locke,Watson Dirt Sand & Gravel Pit Inc
"800 Dalton Lane
AUSTIN, TX  78742",Y B Dirt & Loam,Y B Dirt & Loam
"SOUR LAKE, TX  77659",Yarbrough Newal,Yarbrough Dirt Pit Inc
